attraction_name,attraction_address,zip_code,attraction_rating,attraction_n_reviews,attraction_url,popular_mentions
Fiona Bleu Gallery,"900 Embarcadero, Morro Bay, CA 93442-2150",93442,4.5,21,https://www.tripadvisor.com/Attraction_Review-g32746-d9776356-Reviews-Fiona_Bleu_Gallery-Morro_Bay_San_Luis_Obispo_County_California.html,"['Filters', 'English', 'Detailed Reviews']"
Roberts Regional Recreation Area,"10570 Skyline Blvd, Oakland, CA 94619-2449",94619,4.5,14,https://www.tripadvisor.com/Attraction_Review-g32810-d7974195-Reviews-Roberts_Regional_Recreation_Area-Oakland_California.html,"['Filters', 'English', 'Detailed Reviews']"
Otay Mountain Wilderness Area,"14615 Otay Lakes Rd Otay Truck Trail and Hwy 94, Jamul, CA 91935-7005",91935,4.0,3,https://www.tripadvisor.com/Attraction_Review-g32538-d12971286-Reviews-Otay_Mountain_Wilderness_Area-Jamul_California.html,"['Filters', 'English', 'Detailed Reviews']"
Keever Vineyards,"26 Vineyard View Drive, Yountville, CA 94599",94599,5.0,23,https://www.tripadvisor.com/Attraction_Review-g33300-d3526305-Reviews-Keever_Vineyards-Yountville_Napa_Valley_California.html,"['Filters', 'English', 'Detailed Reviews']"
Yates Family Vineyard,"4723 Redwood Rd, Napa, CA 94558-9552",94558,5.0,11,https://www.tripadvisor.com/Attraction_Review-g32766-d2108713-Reviews-Yates_Family_Vineyard-Napa_Napa_Valley_California.html,"['Filters', 'English', 'Detailed Reviews']"
Downey History Center,"12540 South Rives Avenue, Downey, CA 90242-3444",90242,5.0,1,https://www.tripadvisor.com/Attraction_Review-g32308-d561823-Reviews-Downey_History_Center-Downey_California.html,"['Filters', 'English', 'Detailed Reviews']"
Small World Park,"2551 Harbor St, Pittsburg, CA 94565-5301",94565,4.5,29,https://www.tripadvisor.com/Attraction_Review-g32895-d7940234-Reviews-Small_World_Park-Pittsburg_California.html,"['Filters', 'English', 'Detailed Reviews']"
Stafford Lake Park,"3549 Novato Blvd, Novato, CA 94947-1004",94947,4.5,7,https://www.tripadvisor.com/Attraction_Review-g32797-d12419248-Reviews-Stafford_Lake_Park-Novato_Marin_County_California.html,"['Filters', 'English', 'Detailed Reviews', 'stratford']"
Monterey County Fair & Event Center,"2004 Fairground Rd, Monterey, CA 93940-5260",93940,4.0,20,https://www.tripadvisor.com/Attraction_Review-g32737-d8700050-Reviews-Monterey_County_Fair_Event_Center-Monterey_Monterey_County_California.html,"['Filters', 'English', 'Detailed Reviews', 'fairgrounds', 'volunteers']"
Blake Garden,"70 Rincon Rd, Berkeley, CA 94707-1047",94707,4.5,25,https://www.tripadvisor.com/Attraction_Review-g32066-d145175-Reviews-Blake_Garden-Berkeley_California.html,"['Filters', 'English', 'Detailed Reviews']"
Hellhole Canyon Trail,"Montezuma Valley Road Anza-Borrego Desert State Park, Borrego Springs, CA 92004",92004,4.5,44,https://www.tripadvisor.com/Attraction_Review-g32099-d7812892-Reviews-Hellhole_Canyon_Trail-Borrego_Springs_California.html,"['Filters', 'English', 'Detailed Reviews']"
Crescent Bay Beach,"Circle Way, Laguna Beach, CA 92651",92651,4.0,38,https://www.tripadvisor.com/Attraction_Review-g32588-d10151155-Reviews-Crescent_Bay_Beach-Laguna_Beach_California.html,"['Filters', 'English', 'Detailed Reviews']"
Saratoga Public Library,"13650 Saratoga Ave, Saratoga, CA 95070-5099",95070,4.5,11,https://www.tripadvisor.com/Attraction_Review-g33059-d13162887-Reviews-Saratoga_Public_Library-Saratoga_California.html,"['Filters', 'English', 'Detailed Reviews']"
Ten Women Gallery,"1128 Montana Ave, Santa Monica, CA 90403-1610",90403,5.0,2,https://www.tripadvisor.com/Attraction_Review-g33052-d20155224-Reviews-Ten_Women_Gallery-Santa_Monica_California.html,"['Filters', 'English', 'Detailed Reviews', 'art']"
Shadow Puppet Brewing Company,"4771 Arroyo Vista Suite B, Livermore, CA 94551-8677",94551,5.0,9,https://www.tripadvisor.com/Attraction_Review-g32635-d12310477-Reviews-Shadow_Puppet_Brewing_Company-Livermore_Tri_Valley_California.html,"['Filters', 'English', 'Detailed Reviews', 'on tap']"
Alta Laguna PArk,"3299 Alta Laguna Blvd, Laguna Beach, CA 92651-2059",92651,4.5,47,https://www.tripadvisor.com/Attraction_Review-g32588-d3252692-Reviews-Alta_Laguna_PArk-Laguna_Beach_California.html,"['Filters', 'English', 'Detailed Reviews']"
Vintage Faire Mall,"3401 Dale Rd, Modesto, CA 95356-0505",95356,3.5,27,https://www.tripadvisor.com/Attraction_Review-g32724-d9793219-Reviews-Vintage_Faire_Mall-Modesto_California.html,"['Filters', 'English', 'Detailed Reviews']"
Chinese Diggings Historical Site,"121 Iron Point Rd, Folsom, CA 95630-9000",95630,2.5,6,https://www.tripadvisor.com/Attraction_Review-g32389-d7929684-Reviews-Chinese_Diggings_Historical_Site-Folsom_California.html,"['Filters', 'English', 'Detailed Reviews']"
Figueroa Mountain Brewing Co.,"45 Industrial Way, Buellton, CA 93427-9565",93427,4.5,35,https://www.tripadvisor.com/Attraction_Review-g32121-d2534824-Reviews-Figueroa_Mountain_Brewing_Co-Buellton_California.html,"['Filters', 'English', 'Detailed Reviews']"
Magnavino Cellars,"961 N Rice Ave Suite 5, Oxnard, CA 93030-8900",93030,4.5,13,https://www.tripadvisor.com/Attraction_Review-g32837-d4584857-Reviews-Magnavino_Cellars-Oxnard_California.html,"['Filters', 'English', 'Detailed Reviews', 'wines']"
Lover's Point Park,"631 Ocean View Blvd, Pacific Grove, CA 93950-2230",93950,4.5,83,https://www.tripadvisor.com/Attraction_Review-g32840-d12562128-Reviews-Lover_s_Point_Park-Pacific_Grove_Monterey_County_California.html,"['Filters', 'English', 'Detailed Reviews', 'small beach', 'nice walk', 'few hours', 'worth a visit', 'sea otters', 'rocks', 'views', 'monterey', 'waves', 'coast', 'surf', 'beaches']"
Raymond M. Alf Museum of Paleontology,"1175 W Baseline Rd, Claremont, CA 91711-2146",91711,4.5,39,https://www.tripadvisor.com/Attraction_Review-g32215-d1854801-Reviews-Raymond_M_Alf_Museum_of_Paleontology-Claremont_California.html,"['Filters', 'English', 'Detailed Reviews']"
Leucadia Farmers Market,"185 Union St Corner of Vulcan and Union, Encinitas, CA 92024-2119",92024,4.5,29,https://www.tripadvisor.com/Attraction_Review-g32355-d3597587-Reviews-Leucadia_Farmers_Market-Encinitas_California.html,"['Filters', 'English', 'Detailed Reviews']"
